Wall time,Step,Value
1700654220.1476934,10240,0.025293711572885513
1700654250.937476,10260,0.02693435177206993
1700654280.7021992,10280,0.02606491558253765
1700654311.3848827,10300,0.026785194873809814
1700654342.3129122,10320,0.02722276747226715
1700654372.2622747,10340,0.024723639711737633
1700654402.71736,10360,0.027209913358092308
1700654432.60503,10380,0.027244968339800835
1700654472.6695452,10400,0.025072237476706505
1700654502.1162443,10420,0.025538625195622444
1700654532.5990076,10440,0.025192858651280403
1700654563.8816414,10460,0.025630449876189232
1700654593.8514457,10480,0.024714788421988487
1700654652.086111,10500,0.027444398030638695
1700654681.0653086,10520,0.025723379105329514
1700654712.1093304,10540,0.02874417044222355
1700654743.3849041,10560,0.02498319186270237
1700654774.4570365,10580,0.02825799584388733
1700654805.1350276,10600,0.026634858921170235
1700654835.5526667,10620,0.02821432426571846
1700654865.2744653,10640,0.02433941699564457
1700654896.106754,10660,0.02709302306175232
1700654926.0133955,10680,0.027021080255508423
1700654955.827341,10700,0.026700982823967934
1700654985.3610766,10720,0.025458933785557747
1700655015.7674494,10740,0.025284547358751297
1700655045.764917,10760,0.02723710983991623
1700655077.0708487,10780,0.026048390194773674
1700655106.7990403,10800,0.027025559917092323
1700655136.907109,10820,0.028230492025613785
1700655172.3952603,10840,0.026103196665644646
1700655200.6950448,10860,0.026860078796744347
1700655230.1527932,10880,0.02569349855184555
1700655259.3002539,10900,0.027677442878484726
1700655288.9361293,10920,0.02694779820740223
1700655319.4767487,10940,0.02693009562790394
1700655348.957039,10960,0.026374684646725655
1700655378.1639438,10980,0.023912524804472923
1700655547.7144895,10980,0.028530115261673927
1700655604.5222006,11000,0.025553708896040916
1700655633.016784,11020,0.0268046036362648
1700655663.6526492,11040,0.026645902544260025
1700655693.939849,11060,0.02655412256717682
1700655723.807214,11080,0.02693839557468891
1700655754.1576853,11100,0.02777710184454918
1700655785.237076,11120,0.026346655562520027
1700655815.1645594,11140,0.02649075724184513
1700655845.597126,11160,0.024407656863331795
1700655877.0577044,11180,0.028577111661434174
1700655907.2316127,11200,0.02673479914665222
1700655937.8260086,11220,0.02665928192436695
1700655968.2374094,11240,0.02523147314786911
1700655999.2544756,11260,0.026748957112431526
1700656030.2917202,11280,0.02570352517068386
1700656060.9515095,11300,0.024404101073741913
1700656091.0834496,11320,0.027427222579717636
1700656121.6066139,11340,0.025971317663788795
1700656151.420837,11360,0.025648945942521095
1700656181.7708697,11380,0.024638041853904724
1700656212.7795088,11400,0.02526034414768219
1700656242.053432,11420,0.025216633453965187
1700656280.751669,11440,0.028781833127141
1700656310.264272,11460,0.0279943086206913
1700656340.0802522,11480,0.026929223909974098
1700656397.2529538,11500,0.025207284837961197
1700656425.82498,11520,0.027698803693056107
1700656456.2020934,11540,0.02428913302719593
1700656486.8213575,11560,0.0278913676738739
1700656517.4458315,11580,0.02653556503355503
1700656547.0539978,11600,0.025746336206793785
1700656577.8513896,11620,0.026134498417377472
1700656608.756897,11640,0.025312120094895363
1700656640.0695593,11660,0.024546155706048012
1700656669.6246662,11680,0.028506141155958176
1700656700.7410965,11700,0.027781933546066284
1700656730.9807928,11720,0.026539213955402374
1700656761.583961,11740,0.02585199475288391
1700656791.526117,11760,0.027130795642733574
1700656822.11992,11780,0.026317927986383438
1700656852.5042574,11800,0.0268772691488266
1700656882.7173362,11820,0.02763807773590088
1700656912.845106,11840,0.025098498910665512
1700656943.604119,11860,0.027810141444206238
1700656972.76079,11880,0.027826935052871704
1700657013.4790907,11900,0.02576478384435177
1700657043.4411054,11920,0.026057584211230278
1700657073.927582,11940,0.02619940973818302
1700657104.7172573,11960,0.025453999638557434
1700657135.4756246,11980,0.02487056888639927
1700657203.2960272,12000,0.02752489224076271
1700657231.4379692,12020,0.02628468908369541
1700657261.7241697,12040,0.029150502756237984
1700657292.8319414,12060,0.025609074160456657
1700657322.6215668,12080,0.028523245826363564
1700657352.9419956,12100,0.0273284874856472
1700657383.3053422,12120,0.02763647958636284
1700657414.3087232,12140,0.02464744634926319
1700657444.5494227,12160,0.027301909402012825
1700657474.8409986,12180,0.02730162814259529
1700657506.0975916,12200,0.027333464473485947
1700657535.9242191,12220,0.025881405919790268
1700657565.6626222,12240,0.02603953517973423
1700657596.3394566,12260,0.027290722355246544
1700657626.092797,12280,0.026766197755932808
1700657657.0720491,12300,0.026976240798830986
1700657687.131196,12320,0.028811654075980186
1700657723.1452153,12340,0.02660622075200081
1700657752.287019,12360,0.02786974050104618
1700657782.4735823,12380,0.026133116334676743
1700657812.2257876,12400,0.027909228578209877
1700657841.8214252,12420,0.0276884026825428
1700657870.7249289,12440,0.027839984744787216
1700657901.0983012,12460,0.027417253702878952
1700657930.6400125,12480,0.02496696636080742
1700658101.0087795,12480,0.028516944497823715
1700658158.9849901,12500,0.02582232840359211
1700658188.2925692,12520,0.027185605838894844
1700658218.7566695,12540,0.02681325376033783
1700658248.6088603,12560,0.026720989495515823
1700658279.1542027,12580,0.02757873572409153
1700658309.44382,12600,0.02810625359416008
1700658339.479289,12620,0.026815293356776237
1700658370.2296486,12640,0.026601698249578476
1700658400.6388109,12660,0.024568801745772362
1700658431.4619308,12680,0.028498904779553413
1700658461.17183,12700,0.026777420192956924
1700658492.192781,12720,0.026974357664585114
1700658522.6246881,12740,0.02542145363986492
1700658553.8893933,12760,0.02732054516673088
1700658584.3648694,12780,0.02556382305920124
1700658615.2803292,12800,0.024474378675222397
1700658646.3176568,12820,0.02768123336136341
1700658677.062366,12840,0.026589754968881607
1700658707.1366665,12860,0.025412729009985924
1700658737.9767532,12880,0.024922844022512436
1700658767.7931356,12900,0.025699926540255547
1700658798.7576897,12920,0.025449195876717567
1700658837.6830053,12940,0.02878699079155922
1700658868.45518,12960,0.02755078114569187
1700658898.2326567,12980,0.02720407210290432
1700658957.165556,13000,0.025199618190526962
1700658985.617838,13020,0.027855159714818
1700659015.429504,13040,0.023984359577298164
1700659046.2430243,13060,0.027607524767518044
1700659076.4439032,13080,0.026530662551522255
1700659106.7934668,13100,0.026385625824332237
1700659136.8426645,13120,0.026140281930565834
1700659167.7049825,13140,0.02593846060335636
1700659198.2565465,13160,0.024472719058394432
1700659228.2245927,13180,0.028424270451068878
