,content_class,style_class,melody_id,model_name,inference_audio_path,melody_score,style_score,overall_score
374,83,101,448,model-leaky-relu-frozen-style-pretraining-01-09-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/vqvae1554.wav,5,1,1
375,27,55,714,model-leaky-relu-no-style-pretraining-30-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/vqvae0443.wav,4,1,1
376,82,67,404,model-leaky-relu-no-style-pretraining-30-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/vqvae0553.wav,4,1,1
377,81,62,780,model-leaky-relu-no-style-pretraining-30-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/vqvae1610.wav,4,1,2
378,85,98,117,model-leaky-relu-frozen-style-pretraining-01-09-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/vqvae1403.wav,1,1,1
379,63,98,423,model-leaky-relu-frozen-style-pretraining-01-09-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/vqvae0560.wav,1,1,1
380,29,79,562,model-leaky-relu-no-style-pretraining-30-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/vqvae0492.wav,4,1,2
381,89,12,281,model-leaky-relu-no-style-pretraining-30-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/vqvae1605.wav,2,1,1
382,89,75,145,model-leaky-relu-frozen-style-pretraining-01-09-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/vqvae1463.wav,2,1,1
383,13,73,135,model-leaky-relu-finetuned-style-pretraining-29-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/vqvae0469.wav,4,1,1
384,97,82,238,model-leaky-relu-no-style-pretraining-30-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/vqvae0400.wav,4,1,1
385,27,55,714,model-leaky-relu-finetuned-style-pretraining-29-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/vqvae0443.wav,4,1,1
386,32,1,996,model-leaky-relu-frozen-style-pretraining-01-09-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/vqvae1344.wav,1,2,1
387,58,80,514,model-leaky-relu-finetuned-style-pretraining-29-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/vqvae0869.wav,4,1,1
388,40,90,370,model-leaky-relu-no-style-pretraining-30-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/vqvae1355.wav,4,1,1
389,101,24,319,model-leaky-relu-frozen-style-pretraining-01-09-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/vqvae0509.wav,1,1,1
390,37,90,468,model-leaky-relu-finetuned-style-pretraining-29-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/vqvae1070.wav,5,2,3
391,38,99,394,model-leaky-relu-finetuned-style-pretraining-29-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/vqvae1222.wav,4,2,2
392,89,12,281,model-leaky-relu-frozen-style-pretraining-01-09-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/vqvae1605.wav,1,1,1
393,63,102,796,model-leaky-relu-no-style-pretraining-30-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/vqvae1046.wav,3,2,2
394,81,63,830,model-leaky-relu-frozen-style-pretraining-01-09-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/vqvae0328.wav,3,2,2
395,100,3,853,model-leaky-relu-no-style-pretraining-30-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/outputs/model-leaky-relu-no-style-pretraining-30-08-2024/vqvae0622.wav,2,1,1
396,29,79,562,model-leaky-relu-finetuned-style-pretraining-29-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/vqvae0492.wav,5,1,2
397,9,86,112,model-leaky-relu-finetuned-style-pretraining-29-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/vqvae1429.wav,4,1,1
398,52,36,485,model-leaky-relu-finetuned-style-pretraining-29-08-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/outputs/model-leaky-relu-finetuned-style-pretraining-29-08-2024/vqvae0721.wav,4,2,2
399,13,73,135,model-leaky-relu-frozen-style-pretraining-01-09-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/vqvae0469.wav,2,2,2
400,13,73,135,model-leaky-relu-frozen-style-pretraining-01-09-2024,/home/user/ss-vq-vae/experiments/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/outputs/model-leaky-relu-frozen-style-pretraining-01-09-2024/vqvae0469.wav,2,2,2
401,83,101,448,model-original-finetuned-style-pretraining-22-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-finetuned-style-pretraining-22-11-2023/outputs/model-original-finetuned-style-pretraining-22-11-2023/vqvae1554.wav,5,5,5
402,89,5,107,model-original-no-style-pretraining-19-11-2023,/home/wojtekk23/Muzyka/magisterka_test/model-original-no-style-pretraining-19-11-2023/outputs/model-original-no-style-pretraining-19-11-2023/vqvae1090.wav,3,3,3
